,brand,model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
20458,Toyota,Aygo,2017,10495,Manual,11566,Petrol,145,68.9,1.0
20459,Toyota,Aygo,2016,7440,Semi-Auto,15999,Petrol,0,67.0,1.0
20460,Toyota,Aygo,2017,7850,Manual,32750,Petrol,145,68.9,1.0
20461,Toyota,Aygo,2019,8990,Manual,1500,Petrol,145,56.5,1.0
20462,Toyota,Aygo,2019,10295,Semi-Auto,32943,Petrol,150,55.4,1.0
20463,Toyota,Aygo,2017,6750,Manual,17322,Petrol,0,69.0,1.0
20464,Toyota,Aygo,2018,9000,Manual,6039,Petrol,145,56.5,1.0
20465,Toyota,Aygo,2018,8500,Manual,2300,Petrol,145,56.5,1.0
20466,Toyota,Aygo,2016,7350,Manual,31183,Petrol,0,69.0,1.0
20467,Toyota,Aygo,2016,8550,Manual,20680,Petrol,0,69.0,1.0
20468,Toyota,Aygo,2015,6790,Manual,30855,Petrol,0,69.0,1.0
20469,Toyota,Aygo,2018,10295,Semi-Auto,9000,Petrol,150,56.5,1.0
20470,Toyota,Aygo,2014,5995,Manual,33015,Petrol,0,69.0,1.0
20471,Toyota,Aygo,2014,5515,Manual,22672,Petrol,0,65.7,1.0
20472,Toyota,Aygo,2015,6995,Manual,42324,Petrol,0,69.0,1.0
20473,Toyota,Aygo,2018,9495,Semi-Auto,24007,Petrol,145,67.3,1.0
20474,Toyota,Aygo,2018,8995,Manual,8488,Petrol,145,68.9,1.0
20475,Toyota,Aygo,2018,8655,Manual,4000,Petrol,145,56.5,1.0
20476,Toyota,Aygo,2019,9245,Manual,6619,Petrol,145,57.7,1.0
20477,Toyota,Aygo,2017,7995,Manual,18000,Petrol,145,68.9,1.0
20478,Toyota,Aygo,2018,9250,Manual,9667,Petrol,145,56.5,1.0
20479,Toyota,Aygo,2018,7714,Manual,20872,Petrol,145,56.5,1.0
20480,Toyota,Aygo,2016,7495,Manual,17776,Petrol,0,69.0,1.0
20481,Toyota,Aygo,2017,8465,Semi-Auto,18353,Petrol,145,67.0,1.0
20482,Toyota,Aygo,2018,9198,Semi-Auto,16372,Petrol,150,67.3,1.0
20483,Toyota,Aygo,2019,8398,Manual,8150,Petrol,150,56.5,1.0
20484,Toyota,Aygo,2018,7999,Manual,4500,Petrol,150,56.5,1.0
20485,Toyota,Aygo,2018,8248,Manual,6442,Petrol,145,56.5,1.0
20486,Toyota,Aygo,2018,7750,Manual,4133,Petrol,145,69.0,1.0
20487,Toyota,Aygo,2017,7995,Manual,20500,Petrol,145,68.9,1.0
20488,Toyota,Aygo,2015,5772,Manual,18619,Petrol,0,69.0,1.0
20489,Toyota,Aygo,2019,9995,Manual,10261,Petrol,145,57.7,1.0
20490,Toyota,Aygo,2015,6795,Manual,52120,Petrol,0,69.0,1.0
20491,Toyota,Aygo,2018,8999,Manual,9694,Petrol,145,56.5,1.0
20492,Toyota,Aygo,2016,7750,Manual,25020,Petrol,0,69.0,1.0
20493,Toyota,Aygo,2018,8595,Manual,6364,Petrol,145,68.9,1.0
20494,Toyota,Aygo,2017,8890,Semi-Auto,3876,Petrol,0,67.0,1.0
20495,Toyota,Aygo,2019,9695,Manual,4231,Petrol,145,56.5,1.0
20496,Toyota,Aygo,2018,8999,Manual,5597,Petrol,145,56.5,1.0
20497,Toyota,Aygo,2017,6999,Manual,31500,Petrol,150,68.9,1.0
20498,Toyota,Aygo,2017,7550,Semi-Auto,27866,Petrol,150,67.0,1.0
20499,Toyota,Aygo,2016,8695,Semi-Auto,8510,Petrol,0,67.0,1.0
20500,Toyota,Aygo,2016,7995,Manual,16103,Petrol,0,69.0,1.0
20501,Toyota,Aygo,2020,10795,Semi-Auto,4569,Petrol,150,56.5,1.0
20502,Toyota,Aygo,2020,10785,Semi-Auto,4589,Petrol,150,56.5,1.0
20503,Toyota,Aygo,2018,7999,Manual,22000,Petrol,145,68.9,1.0
20504,Toyota,Aygo,2017,8995,Manual,3028,Petrol,145,68.9,1.0
20505,Toyota,Aygo,2017,7995,Manual,20858,Petrol,145,68.9,1.0
20506,Toyota,Aygo,2016,7995,Manual,10439,Petrol,0,69.0,1.0
20507,Toyota,Aygo,2019,10491,Semi-Auto,6900,Petrol,145,55.4,1.0
20508,Toyota,Aygo,2014,5777,Manual,43000,Petrol,0,69.0,1.0
20509,Toyota,Aygo,2020,10400,Manual,4578,Petrol,150,56.5,1.0
20510,Toyota,Aygo,2018,9291,Semi-Auto,11503,Petrol,150,67.0,1.0
20511,Toyota,Aygo,2019,9990,Semi-Auto,4695,Petrol,145,55.4,1.0
20512,Toyota,Aygo,2019,9790,Manual,6546,Petrol,145,57.7,1.0
20513,Toyota,Aygo,2017,7391,Manual,22349,Petrol,0,68.9,1.0
